Farmer ID,Technology Adoption Level,Crop Yield,Labor Hours,Financial Investment in Technology,Perceived Well-being,Environmental Impact Metrics,Tech_Level_Encoded,Wellbeing_Class,Yield_Category
F01127,None,3.65734656767307,0.1938765296825169,1.5893004532586925,7.0,1.084664997095352,0.0,Moderate,Medium
F10846,Full,5.47067839146649,-2.239634242442303,-0.6987803129064205,5.0,1.0961956820224492,2.0,Moderate,High
F08887,Partial,4.93188906377451,0.8909702955937375,0.45923238282723,6.0,0.7778932871716989,1.0,Moderate,High
F09207,Partial,3.55573977332636,-1.1268493880067703,-0.4191224064544311,7.0,0.18072255884775978,1.0,Moderate,Medium
F00029,Partial,4.91484066282555,0.2084450413599854,-0.3856886630295648,4.0,-0.0542354355611992,1.0,Moderate,High
F00999,Full,3.78391105873638,0.3415587064773486,-0.3178686859420205,8.0,0.7915427313847343,2.0,High,Medium
F06457,Partial,2.96259362109618,0.3209450144634967,0.9284748052537912,1.0,-1.1323408431684487,1.0,Low,Low
F06790,Partial,2.62032618658536,0.8024397554517875,0.7865527568384597,6.0,-1.6788874508923772,1.0,Moderate,Low
F01213,None,3.52166541170356,1.5810952737615525,0.957416144994018,5.0,0.3964727395580458,0.0,Moderate,Medium
F00332,Partial,3.52166541170356,0.486743826001969,-0.44739343797165093,6.0,1.4509565241025444,1.0,Moderate,Medium
F07066,Partial,4.43740628246949,-2.042711962650806,-0.734712683838615,2.0,1.246985252674411,1.0,Low,High
F00044,Full,3.52166541170356,1.497976373959473,0.04669150853006259,7.0,0.6434493594290349,2.0,Moderate,Medium
F06263,None,2.75161681930896,-0.780411985220347,0.13026344123522857,6.0,-0.33955600577121803,0.0,Moderate,Low
F05242,Partial,3.82363247251297,0.007540241836601714,-0.6824087890116433,1.0,1.45869732146408,1.0,Low,Medium
F06978,Full,2.91627935431057,-0.4627399295648271,0.03492275775953405,4.0,1.502932098910432,2.0,Moderate,Low
F09677,Full,5.10569010782084,-0.3608707722455694,-0.6741744148508337,2.0,-1.0047230300154313,2.0,Low,High
F10191,Partial,4.59587345497682,0.4098498516041001,-0.6808708526723347,3.0,-0.010665953992967842,1.0,Low,High
F01174,None,3.52166541170356,1.513666601306458,-0.3393465311388136,8.0,1.1155363288277762,0.0,High,Medium
F09806,Partial,4.23544328620415,0.7566719233434231,-0.5832698550180229,4.0,-1.267976376093832,1.0,Moderate,High
F00919,Partial,4.06975891970417,-0.23104365472180244,-0.594602955858566,3.0,1.2820107553270887,1.0,Low,High
F10867,None,4.78605010386342,1.4769477496824255,-0.03841285406266266,5.0,-0.7220910827793006,0.0,Moderate,High
F08571,Partial,1.69165794597576,-0.7099874073739568,-0.5733074200394471,3.0,0.6696390271320468,1.0,Low,Low
F02878,None,1.48617524371892,0.21512384295084785,0.801132984311167,9.0,0.7719964613198022,0.0,High,Low
F02814,None,4.79791650566076,0.6232891737536378,-0.6905714795497,5.0,0.7767281012805555,0.0,Moderate,High
F03187,Partial,3.43339897297802,0.8774152205997648,0.23459462780600754,3.0,1.0266657571899989,1.0,Low,Medium
F05396,Partial,2.99528453816484,0.5150352216811166,0.45620134425261216,6.0,0.6175586594765053,1.0,Moderate,Low
F02907,Full,2.89400995391508,-0.4841048529009575,1.301265932635476,10.0,1.66281618707713,2.0,High,Low
F07323,Partial,2.58767448593364,0.007540241836601714,0.28976966612217947,5.0,-0.8560784910966663,1.0,Moderate,Low
F06672,Full,2.61107519094022,0.10937865728721351,0.11317234727077592,2.0,1.0296211068079608,2.0,Low,Low
F04113,None,3.52166541170356,-1.0781079640581084,-0.45118717627361743,3.0,-0.010665953992967842,0.0,Low,Medium
F04492,Partial,4.64780279175975,1.1077228827691654,0.8916126720526354,2.0,1.4653069823827352,1.0,Low,High
F04943,Full,3.52166541170356,1.2803332285302067,-0.5727649270986818,10.0,1.4850511453752187,2.0,High,Medium
F09883,Partial,1.67409890588739,-0.41097593002020144,-0.7421158877264971,9.0,1.4110647771996767,1.0,High,Low
F02127,Partial,2.92481355035648,0.8801441231406545,-0.5209032484676909,5.0,1.4107273390340793,1.0,Moderate,Low
F05057,Partial,4.1983991213294,-1.2348945847931188,-0.6569310505442607,9.0,-1.4017992894236428,1.0,High,High
F05196,Partial,3.25748355047397,-0.13281320977008362,-0.38442556231220976,9.0,-0.4122141661761715,1.0,High,Medium
F03582,Full,3.41066413452895,0.5506765509522192,1.2718669695989209,7.0,-1.4606883938956041,2.0,Moderate,Medium
F06940,Partial,3.14117362905645,0.18468849827529848,-0.6674450104029349,6.0,-0.29261441895764156,1.0,Moderate,Low
F01783,Partial,8.44018640445539,0.007540241836601714,-0.21494516219457913,5.0,-0.47578191093348193,1.0,Moderate,High
F09130,Full,3.85440656747433,0.5281582386635042,0.07354378897242177,9.0,1.2951334560381496,2.0,High,High
F02842,Partial,0.591339255519496,0.3024864142294032,-0.6416473885365828,4.0,0.9045941284903444,1.0,Moderate,Low
F06205,None,3.52166541170356,0.528117488590002,0.6072621526650168,3.0,0.5419415719838231,0.0,Low,Medium
F05296,None,3.16918948047772,0.33560580126134837,-0.24073457201258475,4.0,-1.5142368243862496,0.0,Moderate,Low
F06305,Partial,1.84604044038368,1.1112585463313884,0.23632234578822087,4.0,-0.13066985338903944,1.0,Moderate,Low
F05410,Partial,3.52166541170356,1.0436281121065345,1.961687748699848,8.0,-0.7105924368880848,1.0,High,Medium
F04908,None,3.92767677100992,0.131712169686953,-0.5251604316343427,7.0,-0.010665953992967842,0.0,Moderate,High
F09454,None,4.57865194595972,0.09454637734966649,-0.47803132221137207,1.0,-0.46136655259392073,0.0,Low,High
F06891,Partial,1.2005444763301,0.5609041822876593,-0.7388293507316382,8.0,1.748003182802697,1.0,High,Low
F09164,Partial,4.83824963076207,0.5172549425642142,-0.17806091491469092,10.0,1.161838290728622,1.0,High,High
